id,value
461,-2.154E+01
598,-6.410E+00
694,-4.533E+00
1042,-1.976E+01
16, 6.550E+00
103,-3.386E+00
274,-6.309E+00
441,-1.803E+01
732,-2.562E+00
1076,-5.567E+00
1125,-5.342E+00
1401,-1.584E+01
1462,-1.345E+01
38, 0.000E+00
79,-2.313E+00
82,-4.364E+00
129, 5.216E+00
134,-3.092E+00
187, 1.054E+00
215,-1.271E+00
230,-4.904E-01
277, 1.410E+00
304,-2.935E+00
315,-1.607E+00
366, 0.000E+00
373,-6.588E+00
410, 6.376E+00
451,-2.187E+00
465,-3.148E+00
522,-3.900E+00
558, 2.709E+00
564, 0.000E+00
672,-7.540E+00
701,-5.869E+00
816,-3.428E+00
835,-2.670E+00
887,-1.034E+00
901,-3.879E+00
1004,-1.987E+00
1047,-6.520E-02
1055,-8.851E+00
1060,-6.215E+00
1161, 0.000E+00
1208,-1.059E+00
1214,-1.571E+00
1248, 5.677E+00
1262, 5.411E+00
1339,-3.321E+00
1386, 2.483E+00
1392,-1.178E+00
1393, 6.627E+00
1398,-1.228E+00
1436,-3.878E+00
55,-1.510E+00
101,-2.262E+00
113,-5.212E-01
123, 3.649E+00
245, 2.289E+00
293, 4.885E+00
333,-1.503E+00
436,-5.320E+00
439,-1.359E+00
452, 1.526E+00
463, 4.020E+00
479,-1.994E+00
618,-7.942E-01
623,-1.813E+00
643,-3.267E+00
714,-1.381E+00
763,-2.147E+00
771,-2.562E+00
785, 4.702E+00
804,-7.018E-01
833, 4.291E+00
852,-4.496E+00
948,-3.263E+00
982,-6.852E+00
1121,-2.975E+00
1182, 1.070E-01
1198,-1.908E+00
1244,-2.564E+00
1258, 4.161E+00
1308,-9.845E-01
1349, 1.311E-03
1374,-2.022E+00
1394,-2.806E+00
1399, 2.238E+00
46,-1.810E+00
76,-3.682E+00
116, 5.529E+00
280,-3.466E+00
322,-7.760E+00
367,-3.994E+00
665, 8.402E+00
696,-7.529E+00
739,-9.272E+00
779,-2.030E+01
811, 5.079E+00
873,-1.857E+01
886,-3.647E+00
1086,-2.084E+01
1233,-8.545E+00
1247, 0.000E+00
1285,-7.963E+00
1364,-8.532E+00
1385, 0.000E+00
1388,-1.329E+01
1417,-4.340E+00
1426, 8.383E+00
22,-6.525E+00
151,-5.624E+00
287,-3.090E+00
425, 4.591E+00
473, 7.623E+00
500, 6.546E+00
608,-6.050E+00
651,-2.536E+00
653,-1.597E+01
734,-2.762E+00
796,-6.659E+00
813,-7.274E+00
847,-5.491E+00
891,-5.299E+00
946,-2.858E+00
968,-1.181E+00
1279,-1.347E+01
1430, 4.020E+00
108,-1.200E+00
136, 3.435E+00
139,-7.516E-02
205,-2.622E+00
249,-1.641E+00
390,-2.808E+00
445, 4.441E-02
586,-6.242E-01
645,-2.453E+00
789, 2.659E+00
841, 2.728E+00
920,-2.137E-01
922,-1.763E+00
989,-4.891E+00
1065,-3.682E+00
1266, 3.327E+00
1268, 1.967E+00
1443,-1.255E+00
50, 2.151E+00
239, 7.529E+00
264, 3.142E+00
314,-6.586E-01
453,-4.346E-01
508, 4.974E-01
642, 1.699E+00
829, 3.364E+00
1123,-2.458E+00
1273, 1.174E+00
1369,-1.780E+00
1409,-3.351E+00
291,-1.996E+00
538,-1.101E+01
582,-4.170E+00
617,-3.387E+00
759,-8.577E+00
1000,-6.223E+00
126,-2.232E+00
219, 4.753E-01
397,-4.086E+00
19,-7.111E-01
30, 1.345E+00
57, 2.404E+00
106, 2.761E+00
157, 1.864E+00
163, 1.025E+00
203, 1.751E+00
208, 2.514E-01
221,-1.125E+00
247,-2.289E+00
341, 3.345E+00
349, 2.061E+00
369,-1.359E+00
399,-1.927E+00
559,-1.478E+00
561, 1.352E+00
581,-1.551E+00
712, 1.648E+00
742,-1.478E+00
758, 3.035E+00
806,-2.837E+00
838,-1.568E+00
883, 1.358E+00
914,-1.857E+00
917,-1.533E+00
926,-1.813E+00
939,-2.237E+00
951,-2.424E-01
956,-2.011E+00
972,-9.705E-03
985,-3.676E+00
1101, 3.460E+00
1108,-1.163E+00
1152,-1.195E+00
1167, 1.510E+00
1186, 1.335E+00
1243,-4.098E-01
1292,-1.547E+00
1310, 2.250E-02
1355, 2.674E+00
1377,-4.578E+00
1422, 1.246E-03
1429, 7.323E-04
1456,-2.536E+00
8,-9.079E-01
166,-1.768E+00
196, 7.790E-01
216,-1.606E-01
237,-2.145E+00
260,-1.911E+00
313,-7.658E-01
337, 2.326E+00
352,-8.538E-01
355, 1.611E+00
379, 6.290E-01
394, 1.972E+00
401,-2.484E-01
458, 4.592E-01
502, 1.162E+00
503, 6.298E+00
510,-9.183E-01
528, 1.756E+00
546,-7.814E-01
572, 8.651E-01
592,-3.067E+00
620,-2.816E-01
639, 1.749E-01
657, 1.204E+00
685, 2.974E+00
729,-1.654E+00
736,-1.108E+00
802,-1.233E+00
824,-7.762E-02
834,-7.467E-01
851, 2.465E+00
884, 6.235E-01
934,-1.168E+00
1002,-1.215E+00
1073, 1.383E+00
1083, 1.041E-01
1129,-1.882E-01
1183, 1.421E+00
1283,-8.252E-01
1296,-7.696E-01
1343,-1.542E+00
1414, 1.817E+00
87,-2.597E+00
182,-5.491E+00
191,-4.098E-01
253,-3.853E+00
298,-3.488E+00
336, 3.345E+00
375,-4.482E+00
527, 5.445E+00
540,-2.125E+00
587,-8.602E+00
597, 2.674E+00
721,-3.592E+00
735,-2.237E+00
778, 4.379E+00
793,-1.101E+01
933,-4.482E+00
994, 4.375E+00
1020, 1.977E+00
1078,-1.377E-01
1114,-7.018E-01
1141,-4.353E+00
1146,-4.611E+00
1220, 3.333E+00
1293, 5.456E+00
1356,-1.748E+00
28,-2.517E+00
40,-2.109E+00
121,-4.409E+00
172, 1.262E+00
229,-1.938E+00
319, 3.887E-01
357, 2.331E+00
387,-8.233E-01
514,-1.745E+00
536,-8.506E-01
715,-1.809E+00
870,-1.385E+00
890,-1.521E+00
971,-1.122E+00
1003,-6.298E-01
1038, 2.465E+00
1160,-1.409E+00
1163,-1.334E+00
1211,-1.771E+00
1306, 2.244E-01
1314, 4.696E-01
1338,-6.375E+00
1350, 1.323E+00
24, 4.340E+00
31, 1.820E+00
63,-5.529E+00
94, 4.364E+00
168, 8.851E+00
204,-6.627E+00
227, 0.000E+00
317,-5.079E+00
331, 5.968E+00
354, 0.000E+00
361,-5.448E+00
389, 3.682E+00
407, 2.030E+01
435, 3.647E+00
556, 1.067E+01
638, 2.084E+01
699, 3.466E+00
705, 1.857E+01
774, 9.271E+00
799, 6.852E+00
859, 7.684E+00
1001,-5.411E+00
1113, 3.994E+00
1148,-5.216E+00
1241, 1.571E+00
1270, 7.529E+00
1301, 0.000E+00
1328, 3.878E+00
1334, 3.266E+00
1408, 1.810E+00
1455, 0.000E+00
2, 2.857E+00
176,-4.703E+00
222,-3.982E+00
228, 1.598E+01
363,-3.646E+00
550, 8.188E-01
571, 2.755E+00
607, 1.182E+00
646, 3.268E+00
663, 3.087E+00
810, 6.049E+00
908, 5.294E+00
941, 2.532E+00
1007,-4.022E+00
1009,-4.591E+00
1088, 5.500E+00
1107,-4.289E+00
1188, 9.865E-01
1309, 1.228E+00
1348, 6.526E+00
1421, 1.349E+01
1439, 3.879E+00
44, 7.540E+00
131, 0.000E+00
135,-2.131E+00
141, 2.669E+00
158, 2.313E+00
181, 1.607E+00
278, 3.027E+00
306, 5.869E+00
310,-2.710E+00
316, 0.000E+00
342, 0.000E+00
418,-2.856E+00
422, 2.935E+00
466,-1.674E+00
491, 0.000E+00
495,-1.923E+00
530, 1.988E+00
535, 1.059E+00
605, 2.192E+00
636, 3.901E+00
644, 1.674E+00
668, 3.321E+00
675, 1.923E+00
678, 4.903E-01
746, 2.548E+00
749, 2.187E+00
791,-2.209E-05
821,-5.742E-05
867, 0.000E+00
940, 3.503E-04
1019,-1.054E+00
1053, 6.522E-02
1140, 1.518E+00
1206,-2.483E+00
1289, 2.687E-05
1362, 3.428E+00
1437, 3.027E+00
137, 4.450E-03
178, 1.509E+00
276, 2.548E+00
281, 2.235E+00
300, 1.899E+00
323,-1.628E+00
409, 6.214E+00
444, 2.145E+00
464, 1.957E-03
467,-1.395E-01
484, 1.499E+00
515,-1.057E-01
600,-2.609E+00
627, 4.490E+00
788,-2.191E+00
812, 1.992E+00
906,-1.526E+00
959, 1.381E+00
988, 3.822E-04
1049, 2.561E+00
1110, 2.257E+00
1135,-1.518E+00
1265, 5.318E+00
1312, 2.023E+00
1405,-1.975E+00
1441,-2.291E+00
13, 8.545E+00
201,-8.402E+00
218, 3.148E+00
292, 1.178E+00
374, 6.611E+00
386, 7.274E+00
440, 0.000E+00
478,-6.091E+00
482, 2.975E+00
487, 2.154E+01
492, 0.000E+00
616,-6.376E+00
624, 7.665E+00
731, 1.271E+00
740, 1.975E+01
760, 6.588E+00
800, 6.410E+00
807,-5.677E+00
814, 7.963E+00
843, 6.504E+00
864,-8.383E+00
954, 0.000E+00
1014, 1.329E+01
1057, 8.531E+00
1074, 4.533E+00
1446,-5.410E+00
159,-4.108E+00
309,-4.160E+00
329, 1.034E+00
377,-7.624E+00
400, 1.803E+01
493, 2.633E+00
506, 6.657E+00
516, 5.555E+00
570, 6.313E+00
594, 7.954E-01
667, 1.584E+01
842, 2.558E+00
958, 3.387E+00
1017, 6.191E+00
1166, 2.805E+00
1176, 7.759E+00
1177,-6.556E+00
1353,-4.747E+00
1370, 5.354E+00
1452,-4.885E+00
164, 1.410E+00
231,-1.059E+00
269, 1.948E+00
372, 6.541E+00
376, 0.000E+00
405, 6.933E+00
417,-1.489E-04
563,-4.904E-01
569,-5.459E-02
703, 1.054E+00
720, 2.604E-04
745, 5.470E-02
907, 0.000E+00
1254, 3.092E+00
21, 1.629E+00
33, 4.474E+00
66,-2.531E+00
206, 6.820E-03
210, 2.403E-03
223, 2.588E+00
351, 2.531E+00
365, 1.909E+00
551, 1.655E+00
737, 5.963E+00
996, 5.256E+00
1084,-2.305E+00
1330, 1.445E-01
6, 2.419E+00
11, 2.145E-01
43, 1.103E+01
51,-2.679E+00
111, 5.155E-01
152, 1.719E+00
183,-2.015E+00
256, 2.575E+00
299, 2.190E+00
327, 1.981E+00
339, 1.854E+00
380, 4.154E-01
460,-3.327E+00
505, 2.236E+00
619,-2.010E+00
635, 1.090E+00
727, 1.958E+00
772,-1.171E-01
783,-3.042E+00
828,-3.349E+00
893, 7.082E-01
897,-2.665E+00
1116,-1.902E+00
1169, 4.507E+00
1210, 4.570E+00
1239, 3.867E+00
1240,-2.459E+00
1251, 8.542E+00
1319, 5.888E+00
1345, 2.455E+00
1387, 3.504E+00
1396, 9.923E-02
1448, 3.225E+00
34, 1.402E+00
77, 3.126E+00
171,-2.574E-01
175,-5.252E-01
305,-1.507E-01
633, 2.136E-01
661, 7.848E-01
698,-1.433E-01
815, 2.519E+00
819,-5.150E-01
882,-4.519E-01
902, 1.480E+00
921, 1.392E-01
932, 1.700E+00
960,-5.339E-01
999,-1.200E+00
1046,-5.687E-01
1067, 9.675E-01
1077,-7.508E-01
1145, 2.616E-01
1155, 8.770E-01
1157,-1.280E+00
1194,-5.021E-01
1200, 8.789E-01
1205, 1.241E+00
1229,-8.338E-01
1320, 7.682E-02
1332,-1.327E+00
1340, 2.509E-01
1384,-4.800E-01
39,-5.411E-02
56,-1.641E+00
120,-1.477E-01
199, 2.885E+00
328,-1.998E+00
384,-2.011E+00
437,-1.265E-01
477, 1.184E+00
525, 2.174E+00
686, 9.127E-01
706,-9.503E-01
722,-4.197E-02
757,-2.846E-04
861, 9.842E-01
876,-1.162E-01
911, 1.972E+00
1051,-1.594E-01
1115, 3.671E+00
1162,-1.067E+00
1226, 1.352E+00
1257, 1.567E+00
1271, 1.571E+00
1325, 1.251E+00
1337,-1.362E+00
1447,-1.652E+00
45,-1.349E+00
83,-1.989E+00
102, 1.547E+00
125, 1.747E-01
132,-1.612E+00
189, 9.127E-01
268,-1.293E+00
273,-2.253E-01
480, 5.690E-01
805, 1.817E+00
820,-1.856E-01
832, 6.065E-02
837, 1.310E+00
868,-6.961E-01
918, 2.450E+00
980,-6.148E-01
1037, 4.844E-01
1058,-6.672E-01
1063, 2.147E-01
1079, 1.640E+00
1120,-7.523E-01
1185,-7.407E-01
1212, 4.844E-01
1216, 9.729E-01
1235,-1.295E-01
1237,-1.682E-01
1299, 3.445E+00
1351, 1.465E+00
1376, 2.343E+00
1395, 7.090E-01
1400,-2.608E-01
1453, 9.388E-01
15, 1.939E+00
62, 3.641E+00
127, 2.285E+00
156, 5.240E-01
188, 1.103E+01
214, 1.246E+00
240,-6.251E-02
